dTime [s];measTemp [°C];calcTemp [°C]
350.123;44;25
351.126;44;25
352.121;43;25
353.121;43;25
354.121;43;25
355.119;43;25
356.119;43;25
357.117;43;25
358.116;43;25
359.116;44;25
360.115;44;25
361.114;44;25
362.113;44;25
363.112;44;25
364.108;44;25
365.111;44;25
366.11;44;25
367.105;44;25
368.108;43;25
369.103;44;25
370.103;43;25
371.106;43;25
372.105;43;25
373.1;43;25
374.103;43;25
375.103;43;25
376.102;43;25
377.102;43;25
378.097;42;25
379.095;42;25
380.094;42;25
381.093;42;25
382.097;42;25
383.092;42;25
384.095;42;25
385.095;42;25
386.094;42;25
387.089;42;25
388.092;42;25
389.087;42;25
390.086;41;25
391.089;42;25
392.085;42;25
393.084;42;25
394.084;42;25
395.083;42;25
396.082;42;25
397.081;42;25
398.08;42;25
399.079;42;25
400.074;41;25
401.073;41;25
402.071;41;25
403.071;41;25
404.07;41;25
405.069;41;25
406.068;41;25
407.067;41;25
408.066;41;25
409.065;42;25
410.064;41;25
411.064;41;25
412.063;41;25
413.062;41;25
414.062;41;25
415.061;41;25
416.06;41;25
417.059;41;25
418.058;41;25
419.057;42;25
420.056;42;25
421.055;42;25
422.054;42;25
423.053;42;25
424.053;42;25
425.052;42;25
426.051;42;25
427.05;42;25
428.049;41;25
429.048;41;25
430.047;41;25
431.046;41;25
432.045;41;25
433.044;41;25
434.043;41;25
435.042;41;25
436.037;42;25
437.036;41;25
438.035;42;25
439.035;42;25
440.034;41;25
441.033;41;25
442.032;41;25
443.031;41;25
444.03;41;25
445.029;41;25
446.028;41;25
447.027;41;25
448.026;41;25
449.025;41;25
450.025;41;25
451.024;40;25
452.023;41;25
453.022;41;25
454.021;41;25
455.02;41;25
456.019;41;25
457.018;41;25
458.017;41;25
459.016;41;25
460.015;41;25
461.014;40;25
462.013;41;25
463.012;41;25
464.011;40;25
465.01;40;25
466.009;40;25
467.008;40;25
468.007;40;25
469.006;41;25
470.006;41;25
471.005;41;25
472;41;25
472.999;41;25
473.998;41;25
474.997;41;25
475.996;41;25
476.995;41;25
477.994;41;25
478.993;41;25
479.993;41;25
480.991;41;25
481.991;41;25
482.99;40;25
483.989;41;25
484.988;41;25
485.987;41;25
486.986;40;25
487.985;40;25
488.984;40;25
489.983;41;25
490.982;40;25
491.981;40;25
492.98;40;25
493.979;40;25
494.978;40;25
495.977;41;25
496.976;41;25
497.975;41;25
498.974;41;25
499.973;41;25
500.972;41;25
501.971;41;25
502.97;41;25
503.969;41;25
504.968;41;25
505.967;41;25
506.966;40;25
507.961;41;25
508.96;41;25
509.959;41;25
510.958;41;25
511.957;41;25
512.956;41;25
513.955;41;25
514.954;41;25
515.953;41;25
516.954;41;25
517.956;41;25
518.952;41;25
519.951;41;25
520.95;41;25
521.949;41;25
